id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augmentation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,frequence_deplacement_encoded
51,36,F,3419,Marié(e),Consulting,Assistant de Direction,9,6,1,1,2,2,1,1,4,4,3,Oui,14,Non,1,3,5,4,Infra & Cloud,Occasionnel,0,0,1.0
52,33,F,5376,Marié(e),Commercial,Cadre Commercial,2,10,5,3,3,4,2,1,1,3,3,Non,19,Non,2,3,1,3,Infra & Cloud,Frequent,1,3,2.0
53,35,M,1951,Divorcé(e),Consulting,Consultant,1,1,1,0,3,3,1,4,3,3,3,Non,12,Non,1,3,4,2,Autre,Occasionnel,0,0,1.0
54,27,F,2341,Divorcé(e),Consulting,Consultant,1,1,1,0,4,3,1,1,4,3,3,Non,13,Non,1,6,2,4,Infra & Cloud,Occasionnel,0,0,1.0
55,26,M,2293,Célibataire,Consulting,Consultant,1,1,1,0,1,1,1,3,3,2,3,Non,12,Oui,0,2,25,3,Infra & Cloud,Occasionnel,0,1,1.0
56,27,M,8726,Célibataire,Commercial,Cadre Commercial,1,9,9,8,4,3,3,3,4,3,3,Non,15,Non,0,0,8,3,Infra & Cloud,Frequent,1,7,2.0
57,30,F,4011,Célibataire,Consulting,Consultant,1,12,12,8,3,3,2,4,4,3,4,Non,23,Non,0,2,1,2,Transformation Digitale,Frequent,3,7,2.0
58,41,F,19545,Marié(e),Consulting,Directeur Technique,1,23,22,15,2,3,5,3,4,3,3,Non,12,Oui,0,0,12,3,Entrepreunariat,Occasionnel,15,8,1.0
60,34,M,4568,Célibataire,Commercial,Cadre Commercial,0,10,9,5,2,3,2,3,3,3,4,Non,20,Non,0,2,23,4,Marketing,Aucun,8,7,0.0
61,37,M,3022,Marié(e),Consulting,Assistant de Direction,4,8,1,0,2,3,1,2,1,3,4,Non,21,Non,0,1,19,2,Infra & Cloud,Occasionnel,0,0,1.0
62,46,M,5772,Célibataire,Commercial,Cadre Commercial,4,14,9,6,1,3,2,4,3,3,4,Oui,21,Non,0,4,5,4,Marketing,Frequent,0,8,2.0
63,35,M,2269,Marié(e),Consulting,Consultant,1,1,1,0,4,4,1,4,4,3,3,Non,19,Non,0,2,8,1,Infra & Cloud,Occasionnel,0,1,1.0
64,48,M,5381,Célibataire,Consulting,Consultant,9,23,1,0,1,2,3,3,4,3,3,Oui,13,Oui,0,2,1,2,Infra & Cloud,Occasionnel,0,0,1.0
65,28,M,3441,Célibataire,Consulting,Consultant,1,2,2,2,3,3,1,3,3,2,3,Oui,13,Oui,0,3,5,4,Entrepreunariat,Occasionnel,2,2,1.0
68,44,F,5454,Divorcé(e),Commercial,Cadre Commercial,5,9,4,3,2,3,2,1,3,2,4,Oui,21,Non,1,2,1,5,Marketing,Occasionnel,1,3,1.0
70,35,M,9884,Marié(e),Consulting,Manager,2,10,4,0,3,2,3,1,3,3,3,Oui,13,Non,1,3,11,2,Transformation Digitale,Aucun,2,3,0.0
72,26,F,4157,Marié(e),Commercial,Cadre Commercial,7,5,2,2,3,2,2,4,3,2,3,Oui,19,Non,1,2,23,3,Marketing,Occasionnel,0,0,1.0
73,33,F,13458,Célibataire,Consulting,Directeur Technique,1,15,15,14,1,3,3,4,3,3,3,Oui,12,Non,0,1,1,2,Infra & Cloud,Frequent,8,12,2.0
74,35,M,9069,Marié(e),Commercial,Cadre Commercial,1,9,9,8,2,3,3,1,4,2,4,Non,22,Non,1,3,18,5,Infra & Cloud,Frequent,1,8,2.0
75,35,F,4014,Marié(e),Consulting,Consultant,3,4,2,2,3,3,1,1,3,3,3,Oui,15,Non,1,3,23,4,Transformation Digitale,Occasionnel,2,2,1.0
76,31,M,5915,Divorcé(e),Consulting,Consultant,3,10,7,7,4,3,2,4,4,2,4,Non,22,Non,1,3,7,4,Infra & Cloud,Occasionnel,1,7,1.0
77,37,M,5993,Divorcé(e),Consulting,Tech Lead,1,7,7,5,1,2,2,3,3,4,3,Non,18,Non,1,2,1,4,Infra & Cloud,Occasionnel,0,7,1.0
78,32,M,6162,Marié(e),Consulting,Tech Lead,1,9,9,8,1,3,2,4,2,3,4,Oui,22,Non,1,3,1,3,Transformation Digitale,Occasionnel,7,8,1.0
79,38,F,2406,Célibataire,Consulting,Consultant,1,10,10,3,4,3,2,4,4,3,3,Non,11,Non,0,2,29,5,Infra & Cloud,Frequent,9,9,2.0
80,50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,29,27,3,2,2,5,3,4,2,3,Oui,12,Non,1,2,7,2,Transformation Digitale,Occasionnel,13,8,1.0
81,59,F,7637,Célibataire,Commercial,Cadre Commercial,7,28,21,16,1,3,3,1,4,2,3,Non,11,Non,0,3,25,3,Infra & Cloud,Occasionnel,7,9,1.0
83,36,F,10096,Divorcé(e),Consulting,Manager,1,17,17,14,3,3,3,3,2,3,3,Non,13,Non,3,2,8,3,Entrepreunariat,Occasionnel,12,8,1.0
84,55,F,14756,Divorcé(e),Consulting,Senior Manager,2,21,5,0,4,3,4,3,3,3,3,Oui,14,Non,3,2,8,3,Transformation Digitale,Occasionnel,0,2,1.0
85,36,M,6499,Célibataire,Consulting,Tech Lead,1,6,6,5,2,2,2,2,3,3,3,Non,13,Non,0,3,11,3,Infra & Cloud,Frequent,0,3,2.0
86,45,M,9724,Divorcé(e),Consulting,Assistant de Direction,2,25,1,0,2,3,3,1,3,3,3,Non,17,Non,1,2,7,3,Infra & Cloud,Occasionnel,0,0,1.0
88,35,M,2194,Marié(e),Consulting,Assistant de Direction,4,5,3,2,2,3,1,1,4,2,3,Non,13,Non,1,2,1,3,Transformation Digitale,Frequent,1,2,2.0
90,36,M,3388,Marié(e),Consulting,Assistant de Direction,0,2,1,0,4,2,1,3,1,2,3,Oui,17,Oui,1,0,9,3,Transformation Digitale,Occasionnel,0,0,1.0
91,59,F,5473,Célibataire,Commercial,Cadre Commercial,7,20,4,3,1,2,2,3,4,2,3,Non,11,Non,0,2,1,1,Infra & Cloud,Frequent,1,3,2.0
94,29,M,2703,Marié(e),Consulting,Assistant de Direction,0,6,5,4,3,3,1,2,4,3,4,Non,23,Non,1,3,2,3,Infra & Cloud,Occasionnel,0,4,1.0
95,31,M,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,1,3,3,1,2,2,3,3,Non,17,Non,0,4,1,4,Transformation Digitale,Occasionnel,1,0,1.0
96,32,M,6220,Marié(e),Consulting,Assistant de Direction,1,10,10,4,2,3,2,2,2,3,3,Non,17,Non,2,3,1,3,Infra & Cloud,Occasionnel,0,9,1.0
97,36,F,3038,Marié(e),Consulting,Consultant,3,5,1,0,2,4,1,4,2,3,3,Non,12,Non,0,3,6,3,Infra & Cloud,Occasionnel,0,0,1.0
98,31,F,4424,Célibataire,Consulting,Tech Lead,1,11,11,7,3,3,2,4,4,3,4,Non,23,Non,0,2,8,4,Infra & Cloud,Occasionnel,1,8,1.0
100,35,M,4312,Célibataire,Commercial,Cadre Commercial,0,16,15,13,3,2,2,1,2,3,3,Non,14,Non,0,2,1,4,Marketing,Occasionnel,2,8,1.0
101,45,M,13245,Marié(e),Consulting,Directeur Technique,4,17,0,0,4,3,3,1,2,4,3,Oui,14,Non,0,3,6,4,Autre,Occasionnel,0,0,1.0
102,37,M,13664,Célibataire,Consulting,Directeur Technique,4,16,5,2,1,3,3,3,1,4,3,Non,13,Non,0,3,7,4,Transformation Digitale,Occasionnel,0,2,1.0
103,46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,16,4,2,2,3,2,2,4,3,4,Oui,22,Non,1,2,5,2,Transformation Digitale,Occasionnel,0,2,1.0
104,30,M,5126,Marié(e),Consulting,Consultant,1,10,10,8,4,2,2,4,3,2,3,Oui,12,Non,2,1,1,1,Infra & Cloud,Occasionnel,3,0,1.0
105,35,M,2859,Célibataire,Consulting,Assistant de Direction,1,6,6,4,2,2,1,3,1,3,3,Non,18,Non,0,3,1,3,Transformation Digitale,Occasionnel,0,4,1.0
106,55,M,10239,Marié(e),Commercial,Cadre Commercial,3,24,1,0,1,3,3,4,4,3,3,Non,14,Non,1,4,1,2,Infra & Cloud,Occasionnel,1,0,1.0
107,38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,17,13,11,2,1,2,4,4,3,3,Oui,12,Non,3,3,6,3,Transformation Digitale,Aucun,1,9,0.0
110,34,M,4325,Marié(e),Consulting,Tech Lead,1,5,5,2,1,3,2,2,3,3,3,Non,15,Non,0,2,1,2,Transformation Digitale,Occasionnel,1,3,1.0
112,56,M,7260,Célibataire,Consulting,Tech Lead,4,37,6,4,4,1,3,4,1,2,3,Non,11,Non,0,3,7,3,Infra & Cloud,Occasionnel,0,2,1.0
113,23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,3,0,0,3,3,1,1,3,3,3,Non,13,Non,1,3,2,1,Entrepreunariat,Occasionnel,0,0,1.0
116,51,M,2075,Marié(e),Consulting,Consultant,3,10,4,2,4,3,1,4,2,3,4,Non,23,Non,2,4,9,4,Infra & Cloud,Occasionnel,0,3,1.0
117,30,M,4152,Marié(e),Consulting,Manager,1,11,11,10,3,2,2,4,1,3,3,Non,19,Non,3,3,2,3,Infra & Cloud,Occasionnel,10,8,1.0
118,46,M,9619,Célibataire,Commercial,Cadre Commercial,1,9,9,8,3,2,3,4,4,3,3,Non,16,Oui,0,3,9,2,Transformation Digitale,Occasionnel,4,7,1.0
119,40,M,13503,Marié(e),Consulting,Manager,1,22,22,3,3,2,4,2,4,2,4,Non,22,Non,1,3,1,4,Infra & Cloud,Frequent,11,11,2.0
120,51,M,5441,Célibataire,Commercial,Cadre Commercial,0,11,10,7,3,3,2,4,4,1,4,Oui,22,Non,0,2,21,4,Marketing,Occasionnel,1,0,1.0
121,30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,11,8,3,2,2,2,2,2,3,Oui,12,Non,3,4,4,2,Transformation Digitale,Occasionnel,2,7,1.0
124,46,M,10673,Marié(e),Consulting,Manager,2,21,10,9,3,2,3,1,3,2,3,Oui,13,Non,1,5,1,3,Transformation Digitale,Frequent,9,5,2.0
125,32,M,5010,Célibataire,Commercial,Cadre Commercial,1,12,11,8,2,3,2,3,1,3,3,Non,16,Non,0,0,6,4,Transformation Digitale,Occasionnel,5,7,1.0
126,54,F,13549,Marié(e),Consulting,Directeur Technique,9,16,4,3,1,3,3,3,1,1,3,Non,12,Non,1,5,2,4,Entrepreunariat,Occasionnel,0,3,1.0
128,24,F,4999,Marié(e),Commercial,Cadre Commercial,0,4,3,2,1,3,2,3,1,2,4,Non,21,Non,1,2,3,2,Autre,Occasionnel,0,2,1.0
129,28,M,4221,Marié(e),Commercial,Cadre Commercial,1,5,5,4,2,3,2,3,2,4,3,Non,15,Non,0,3,4,3,Transformation Digitale,Aucun,0,4,0.0
131,58,M,13872,Célibataire,Commercial,Cadre Commercial,0,38,37,10,4,3,4,3,3,2,3,Non,13,Non,0,1,10,4,Transformation Digitale,Occasionnel,1,8,1.0
132,44,M,2042,Marié(e),Consulting,Consultant,4,17,3,2,2,3,2,2,3,4,3,Non,12,Non,1,3,23,3,Transformation Digitale,Aucun,1,2,0.0
133,37,M,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,7,3,2,3,3,1,1,4,3,4,Oui,22,Oui,0,3,6,4,Ressources Humaines,Occasionnel,0,2,1.0
134,32,M,2956,Célibataire,Consulting,Assistant de Direction,1,1,1,0,4,3,1,1,4,3,3,Non,13,Non,0,2,1,1,Infra & Cloud,Occasionnel,0,0,1.0
137,20,F,2926,Célibataire,Consulting,Consultant,1,1,1,0,4,2,1,4,2,3,3,Oui,18,Oui,0,5,6,3,Infra & Cloud,Frequent,1,0,2.0
138,34,F,4809,Célibataire,Consulting,Assistant de Direction,1,16,16,13,1,3,2,3,3,3,3,Non,14,Non,0,3,6,4,Autre,Occasionnel,2,10,1.0
139,37,M,5163,Divorcé(e),Consulting,Manager,5,17,1,0,3,2,2,4,4,4,3,Non,14,Non,1,2,2,2,Infra & Cloud,Aucun,0,0,0.0
140,59,F,18844,Marié(e),Ressources Humaines,Senior Manager,9,30,3,2,3,2,5,4,4,3,4,Non,21,Non,1,3,2,4,Ressources Humaines,Aucun,2,2,0.0
141,50,F,18172,Marié(e),Consulting,Directeur Technique,3,28,8,3,1,3,5,2,1,2,3,Oui,19,Non,0,1,1,3,Infra & Cloud,Frequent,0,7,2.0
142,25,M,5744,Célibataire,Commercial,Cadre Commercial,1,6,6,4,3,2,2,3,4,3,3,Oui,11,Oui,0,1,5,3,Marketing,Occasionnel,0,3,1.0
143,25,M,2889,Marié(e),Consulting,Assistant de Direction,1,2,2,2,4,2,1,4,3,3,3,Non,11,Non,2,2,7,1,Transformation Digitale,Occasionnel,2,1,1.0
144,22,F,2871,Célibataire,Consulting,Consultant,1,1,0,0,2,3,1,4,3,3,3,Non,15,Non,0,5,15,3,Transformation Digitale,Occasionnel,0,0,1.0
145,51,F,7484,Célibataire,Consulting,Manager,3,23,13,12,1,2,3,1,3,2,4,Non,20,Non,0,1,1,4,Transformation Digitale,Frequent,12,8,2.0
147,34,M,6074,Célibataire,Consulting,Consultant,1,9,9,7,1,1,2,3,4,3,4,Oui,24,Oui,0,3,7,3,Infra & Cloud,Frequent,0,6,2.0
148,54,F,17328,Célibataire,Ressources Humaines,Senior Manager,2,23,5,3,4,4,4,4,3,3,3,Oui,12,Non,0,3,26,3,Ressources Humaines,Aucun,4,4,0.0
150,24,M,2774,Marié(e),Consulting,Consultant,0,6,5,3,2,3,1,3,3,3,3,Non,12,Non,1,2,18,1,Infra & Cloud,Occasionnel,1,2,1.0
151,34,F,4505,Divorcé(e),Consulting,Assistant de Direction,6,12,1,0,3,2,2,2,3,3,3,Non,15,Non,1,3,6,4,Infra & Cloud,Occasionnel,0,0,1.0
152,37,M,7428,Célibataire,Commercial,Cadre Commercial,2,12,5,3,3,3,3,4,1,3,3,Non,12,Non,0,3,3,3,Infra & Cloud,Occasionnel,1,3,1.0
153,34,F,11631,Célibataire,Consulting,Senior Manager,2,14,11,10,3,2,3,1,4,3,3,Non,12,Non,0,6,5,3,Transformation Digitale,Occasionnel,5,8,1.0
154,36,F,9738,Marié(e),Commercial,Cadre Commercial,0,10,9,7,2,3,3,4,3,3,3,Non,14,Non,1,6,11,2,Entrepreunariat,Frequent,2,8,2.0
155,36,F,2835,Divorcé(e),Consulting,Consultant,5,7,1,0,1,3,1,4,1,3,4,Non,22,Non,1,2,3,2,Infra & Cloud,Occasionnel,0,0,1.0
158,43,M,16959,Marié(e),Commercial,Senior Manager,1,25,25,12,3,3,4,4,4,4,3,Oui,12,Non,2,3,26,2,Infra & Cloud,Frequent,4,12,2.0
159,30,M,2613,Divorcé(e),Consulting,Assistant de Direction,1,10,10,7,1,1,1,3,3,2,4,Non,25,Non,3,2,23,3,Infra & Cloud,Frequent,0,9,2.0
160,33,M,6146,Marié(e),Commercial,Cadre Commercial,0,8,7,7,3,3,2,2,1,4,3,Non,13,Non,1,2,22,2,Marketing,Aucun,0,7,0.0
161,56,F,4963,Marié(e),Consulting,Assistant de Direction,9,7,5,4,2,3,1,2,1,3,3,Oui,18,Oui,3,2,14,4,Infra & Cloud,Occasionnel,4,3,1.0
162,51,M,19537,Célibataire,Consulting,Directeur Technique,7,23,20,18,1,3,5,3,3,3,3,Non,13,Non,0,5,6,3,Infra & Cloud,Occasionnel,15,15,1.0
163,31,M,6172,Marié(e),Commercial,Cadre Commercial,4,12,7,7,2,1,2,3,2,2,3,Oui,18,Oui,0,3,6,4,Infra & Cloud,Occasionnel,7,7,1.0
164,26,F,2368,Marié(e),Consulting,Assistant de Direction,1,5,5,4,3,2,1,2,3,2,3,Non,19,Non,0,3,6,3,Autre,Occasionnel,4,3,1.0
165,58,F,10312,Marié(e),Consulting,Manager,1,40,40,10,4,3,3,4,4,2,3,Non,12,Oui,1,3,23,4,Transformation Digitale,Occasionnel,15,6,1.0
167,19,M,1675,Célibataire,Commercial,Représentant Commercial,1,0,0,0,4,3,1,3,4,2,3,Oui,19,Oui,0,2,22,1,Marketing,Occasionnel,0,0,1.0
169,22,M,2523,Marié(e),Consulting,Consultant,0,3,2,1,3,3,1,4,3,3,3,Non,14,Non,1,2,2,1,Entrepreunariat,Occasionnel,2,1,1.0
170,49,F,6567,Marié(e),Consulting,Tech Lead,1,16,15,11,3,3,2,1,3,2,3,Non,14,Non,0,2,20,4,Transformation Digitale,Occasionnel,5,11,1.0
171,43,F,4739,Célibataire,Consulting,Assistant de Direction,4,18,3,2,2,4,1,3,4,3,3,Non,12,Non,0,2,28,3,Transformation Digitale,Frequent,1,2,2.0
174,50,F,9208,Célibataire,Commercial,Cadre Commercial,4,16,2,2,3,3,3,4,4,3,3,Non,11,Non,0,3,12,3,Marketing,Frequent,2,1,2.0
175,31,F,4559,Marié(e),Commercial,Cadre Commercial,3,4,2,2,2,1,2,3,3,3,3,Oui,11,Oui,1,2,20,3,Infra & Cloud,Occasionnel,2,2,1.0
176,41,M,8189,Divorcé(e),Commercial,Cadre Commercial,3,12,9,7,3,3,3,3,3,3,3,Oui,13,Non,1,2,9,1,Infra & Cloud,Occasionnel,0,7,1.0
177,26,F,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,8,8,7,3,3,1,3,4,3,4,Non,23,Non,1,3,25,1,Infra & Cloud,Occasionnel,5,7,1.0
178,36,M,4941,Divorcé(e),Consulting,Tech Lead,6,7,3,2,2,3,2,2,4,3,4,Non,20,Non,2,0,6,2,Transformation Digitale,Occasionnel,0,1,1.0
179,51,M,10650,Célibataire,Consulting,Tech Lead,2,18,4,2,1,1,3,4,4,3,3,Non,15,Oui,0,2,8,4,Infra & Cloud,Frequent,0,3,2.0
182,39,F,5902,Marié(e),Commercial,Cadre Commercial,4,17,15,11,4,2,2,3,3,4,3,Non,14,Non,1,1,4,4,Infra & Cloud,Occasionnel,5,9,1.0
183,25,M,8639,Marié(e),Commercial,Cadre Commercial,2,6,2,2,1,2,2,3,4,3,3,Non,18,Non,0,3,28,3,Infra & Cloud,Occasionnel,2,2,1.0
184,30,M,6347,Marié(e),Ressources Humaines,Ressources Humaines,0,12,11,9,3,3,2,4,4,1,3,Oui,19,Non,0,2,9,3,Ressources Humaines,Occasionnel,4,7,1.0
190,32,F,4200,Célibataire,Consulting,Consultant,7,10,5,4,1,3,1,1,1,4,4,Non,22,Oui,0,2,9,3,Transformation Digitale,Occasionnel,0,4,1.0
192,45,M,3452,Célibataire,Consulting,Assistant de Direction,5,9,6,5,3,3,1,4,2,2,3,Non,13,Non,0,2,29,3,Transformation Digitale,Occasionnel,0,3,1.0
193,38,F,4317,Célibataire,Consulting,Assistant de Direction,3,19,3,2,4,3,2,3,2,3,4,Oui,20,Non,0,2,3,5,Entrepreunariat,Occasionnel,2,2,1.0
194,30,F,2632,Célibataire,Consulting,Assistant de Direction,1,5,5,4,1,3,1,3,3,2,3,Non,14,Non,0,4,18,3,Infra & Cloud,Occasionnel,0,4,1.0
195,32,M,4668,Divorcé(e),Commercial,Cadre Commercial,0,9,8,7,4,1,2,4,4,4,3,Non,17,Non,3,2,9,2,Transformation Digitale,Frequent,0,7,2.0
197,30,F,3204,Divorcé(e),Consulting,Assistant de Direction,5,8,3,2,4,3,1,1,4,3,3,Non,14,Non,1,3,5,3,Entrepreunariat,Occasionnel,2,2,1.0
198,30,M,2720,Célibataire,Consulting,Consultant,0,6,5,3,2,2,1,4,4,3,3,Non,13,Non,0,3,2,1,Transformation Digitale,Occasionnel,1,2,1.0
199,41,M,17181,Divorcé(e),Consulting,Senior Manager,4,21,7,6,4,2,4,1,2,2,3,Non,13,Non,1,2,10,3,Infra & Cloud,Frequent,7,7,2.0
200,41,M,2238,Marié(e),Consulting,Consultant,2,7,5,0,3,3,1,1,4,3,4,Non,21,Non,1,2,9,4,Infra & Cloud,Occasionnel,1,4,1.0
201,19,F,1483,Célibataire,Consulting,Consultant,1,1,1,0,2,3,1,2,4,3,3,Non,14,Non,0,3,3,1,Transformation Digitale,Occasionnel,0,0,1.0
